,Treinamento,Classificacao
0,@unxarted joga dota 2 comigo cc,1
1,preciso dormir preciso estudar ai eu vou e viro a noite jogando dota 2,1
2,@levieholanda viado dota é muito mais evoluído nessas paradas que o lol pq tem uma oficina,1
3,@fiaspo eu to jogando dota homem,1
4,come dota,1
5,eu q sou -77% nerd peguei a editoria mais nerd do mundo e tô aqui lendo sobre dota,1
6,quit dota,1
7,prefiro dota doq lol,1
8,@luanhf_ dota quarta pra quinta vem e se vira com teu note,1
9,se no novo patch do dota não neffarem a legion necro sven tinker monkey king e não corrigirem média de mmr de uma partida eu desisto,1
10,tara dota ,1
11,record de twitch de dota 67 seguidores ja sou sucesso na twitch https//tco/85fbizbncc,1
12,@gabs_kitano to baixando dota,1
13,@matheusreale @anazionw e porque hots é muito simples enquanto q dota é muito complicado lol acho q é o meio termo,1
14,rt @niclevicz pensa na felicidade que a comunidade do dota br está haha #gosg https//tco/u0j1rznaif,1
15,gostei de um vídeo @youtube https//tco/rvvyv7im6k jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
16,i liked a @youtube video https//tco/v1grbjyamo dota 2 favorável - comeback is real,1
17,rt @pri0ri prova amanha e eu jogando dota é essa mae aqui https//tco/h2sq2tlbae,1
18,@stealthyntc mas eu tb fico assim com o cs jesusate dota q eu nem sei jogar eu fico com vontade de jogar se eu ver camp,1
19,@_alwayswannadie eu chamo tu nao atende porra nao sei jogar dota véi,1
20,eu to realmente jogando dota eu n to acreditando,1
21,alguém joga dota 2 aqui?,1
22,os cara nunca vivencio nada ne manomas é rép rép rép po segura o dota awe,0
23,fui chamado pra jogar em um time de dota nukedito,1
24,@tensoblog da uma olhada nisso https//tco/ss1rg6h2no,0
25,quit dota https//tco/bcon2sjp8i,1
26,i liked a @youtube video https//tco/7iw3w1idxx dota 2 desfavorável - uma falsa ilusão,1
27,@kalylmady e tu joga dota desde quando kalyl? lasuhshash,1
28,@reversotario ou tu ja jogo dota ????,1
29,eu até queria jogar dota mas do jeito que meu braço tá doendo ,1
30,chen é o melhor herói do dota e eu posso provar,1
31,do dando find solo ranked no dota to com mto medo,1
32,@alvesjulia05 oxi jogo saiu nesse ano e já passou dota e cs  de tão viciante q é esse jogo kkk,1
33,hj eu fui pra rua e na balaids tinha um cara com camisa de dota e um copo do bts i shit you not,1
34,@r_erik eu sei tô tirando onda sei que quem joga dota não gosta de lol,1
35,gostei de um vídeo @youtube https//tco/v5mwgorp47 1v1 vs bot ai - ti7 dota 2,1
36,@davi_kazz tem concordar no dota né pq no cs rsrs 16x2 rsrs,1
37,joguei 7 partidas de dota ganhei as 7 ?,1
38,@mfaooficial como jogar dota 2 - ep 02 herói itens fases de jogo e runas de recomp https//tco/s8mzl0hmzr,1
39,@li_portilho eu gosto de dota  aff desigualdade social no brasil é absurdo mesmo heim,1
40,saudades de ouvir o narrador do dota falar your enemies is dead,1
41,cafezinho com meu amor ? @kaucastro16 https//tco/eztmw8rnvs,0
42,@gabrielleos1 tô com uns migo jogador de dota e cs tive que ensinar tudo tbm,1
43,dota é uma desgraça,1
44,gostei de um vídeo @youtube https//tco/j4m8my0jqs carry earthshaker | 9098 mmr dota 2,1
45,@oldarthbastarde joga dota 2 ouvino rap,1
46,caralho achar partida no dota é um cu,1
47,dota 2 3 banners para youtube editáveis em psdhttps//tco/7mb8mrmno0 https//tco/3ncvh7xbgo,1
48,@dopatwo pode me dar um spoiler do que vai ser o do dota?&lt;3o do ow eu n sei nada,0
49,@davidmachadoo pior que tem esse tipo de câncer em toda comunidade cs em nem ouso abrir nas férias escolares e no… https//tco/axwdqkchhu,1
50,@julia_dota olha agr isso é verdade,0
51,@muhammadnadzmil @twt_dota bro item necro tu x de set ?,1
52,g dota https//tco/k2ypxdklqa,1
53,@gervaziok só joguei dota,1
54,force dota,0
55,porra falta só 1 nooty pra mim jogar dota com o gabriel,1
56,3400 eeeeeeeeeee boy!! #mmr #roadto5500 #dota,1
57,@pew3x recomendar algúm jogo aee to medio cansado de dota e a comunidade tóxica,1
58,mt preocupado com @doncamath q resolveu agora trocar maconha por dota,1
59,adicionei um vídeo a uma playlist @youtube https//tco/5jkt1sbowi - dota,1
60,dota é melhor abcs,1
61,eu tô 2/7 aqui no dota contra bot no hard,1
62,deixa eu botar mais um som de dota,1
63,@quimericoyt @youtube eu só entendo a parte do dota,1
64,jogando dota 2,1
65,nem dota eu jogo mais overwatch consumiu toda a minha nerd bobeira,1
66,quer saber eu vou jogar dota 2 pois é só oq resta p esse domingão,1
67,livrai me deus da vontade de jogar dota pra não virar um renan da vida,1
68,wtf kkkkkkkkkkkkkkkk ele excluiu todos som de dota 2 dele,1
69,@asdfghieee_ no time for dota na ?,1
70,@jmhayrarahusop actually 16 hrs dota 8 hrs tulog,1
71,quem tem a expressão facial mais bizarra dos pro players de dota?,1
72,esse pc roda dota mt bem e cs tbm o meu é um lixo,1
73,estranho como apesar de eu não jogar eu entendo tudo que ta acontecendo em hots agora em dota eu não entendo pouca coisa que ta na tela,1
74,obrigado aos amigos na twitch agora é muito mais legal morrer no dota com voces assistindo e me xingando,1
75,@nininaninanao kkkkkkkkkkkkkkk me disseram que era final do dota fui ludibriado kkkkkkkkkk,1
76,mano vo começar a jogar dota amanha lol já ta ficando enjoativo,1
77,rt @juninhodadez fé - porque a gente acreditapaz - porque a gente precisaamor - porque a gente merece,0
78,porque dota eh familia e voce ja sabe - o nosso time ja formo 00,1
79,gostei de um vídeo @youtube https//tco/saygbjla3w dota 2 gold,1
80,a morgana é do dota ou do lol?,1
81,tara dota,0
82,a abertura do cblol esse ano foi muito boa uma pena o publico de dota ser pequeno principalmente  aqui,1
83,rt @pri0ri o unico jogo q existe é dota 2 o resto é matrix irreal feita sob medida pra vender pro gado comprar jogar 20h e cansar pra com…,1
84,mano dota e maneiro p caralho mas todo boneco la e doente,1
85,gostei de um vídeo @youtube https//tco/4sjzqidsny jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
86,@anazionw deve ser porque hots tem muito mais influência de lol do que de dota,1
87,só dota kk https//tco/xscujp4a7t,1
